disease_id	canonical_name	aliases	source	xref_doid	external_ids	fetch_date
MONDO:0000001	disease	condition|disease|disease or disorder|disease or disorder, non-neoplastic|diseases|diseases and disorders|disorder|disorders|medical condition|other disease	MONDO	DOID:4		2026-06-29
MONDO:0000004	adrenocortical insufficiency	adrenal cortical hypofunction|adrenal cortical insufficiency|adrenal gland insufficiency|adrenal insufficiency|adrenocortical insufficiency|hypocortisolemia|hypocortisolism	MONDO	DOID:10493		2026-06-29
MONDO:0000005	alopecia, isolated		MONDO			2026-06-29
MONDO:0000009	inherited bleeding disorder, platelet-type	bleeding disorder, platelet-type	MONDO	DOID:2218		2026-06-29
MONDO:0000014	colorblindness, partial		MONDO			2026-06-29
MONDO:0000015	classic complement early component deficiency	genetic deficiency of early component of the classical complement pathway	MONDO			2026-06-29
MONDO:0000022	nocturnal enuresis	bedwetting|enuresis, nocturnal|sleep enuresis	MONDO			2026-06-29
MONDO:0000023	infantile liver failure	fever-associated acute infantile liver failure syndrome|infantile liver failure syndrome|liver failure, infantile	MONDO	DOID:0080716		2026-06-29
MONDO:0000030	familial sleep-related hypermotor epilepsy	ADNFLE|autosomal dominant nocturnal frontal lobe epilepsy|epilepsy, nocturnal frontal lobe, familial|familial sleep-related hyperkinetic epilepsy|familial sleep-related hypermotor epilepsy|famillial SHE	MONDO	DOID:0060681		2026-06-29
MONDO:0000032	febrile seizures, familial	seizures, familial febrile	MONDO	DOID:0111297		2026-06-29
MONDO:0000044	hereditary hypophosphatemic rickets	hereditary hypophosphatemic rickets	MONDO			2026-06-29
MONDO:0000045	hypothyroidism, congenital, nongoitrous		MONDO			2026-06-29
MONDO:0000050	isolated congenital growth hormone deficiency	ICGHD|congenital IGHD|congenital isolated GH deficiency|congenital isolated growth hormone deficiency|isolated growth hormone deficiency	MONDO	DOID:0060870		2026-06-29
MONDO:0000060	microcephalic osteodysplastic primordial dwarfism		MONDO			2026-06-29
MONDO:0000062	isolated microphthalmia	microphthalmia, isolated|nonsyndromic microphthalmia	MONDO	DOID:0080637		2026-06-29
MONDO:0000065	microvascular complications of diabetes, susceptibility	microvascular complications of diabetes	MONDO			2026-06-29
MONDO:0000066	mitochondrial respiratory chain complex deficiency	isolated oxidative phosphorylation complex disorder|mitochondrial complex deficiency	MONDO			2026-06-29
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	Mycobacterium tuberculosis, susceptibility to|Mycobacterium tuberculosis, susceptibility to infection by	MONDO			2026-06-29
MONDO:0000078	acrocephalopolysyndactyly	ACPS	MONDO			2026-06-29
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic		MONDO	DOID:0080655		2026-06-29
MONDO:0000082	pelvic organ prolapse		MONDO			2026-06-29
MONDO:0000087	polymicrogyria		MONDO	DOID:0080918		2026-06-29
MONDO:0000088	precocious puberty	pubertas praecox|sexual precocity	MONDO			2026-06-29
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	progressive external ophthalmoplegia with mtDNA deletions	MONDO			2026-06-29
MONDO:0000104	anemia, hypochromic microcytic with iron overload	anemia, hypochromic microcytic, with iron overload	MONDO			2026-06-29
MONDO:0000105	anemia, nonspherocytic hemolytic		MONDO			2026-06-29
MONDO:0000107	auriculocondylar syndrome	auriculo-condylar syndrome|question mark ear syndrome	MONDO			2026-06-29
MONDO:0000108	bacteremia, susceptibility		MONDO			2026-06-29
MONDO:0000110	bifid nose		MONDO			2026-06-29
MONDO:0000111	camptodactyly syndrome, Guadalajara		MONDO			2026-06-29
MONDO:0000114	cerebelloparenchymal disorder		MONDO			2026-06-29
MONDO:0000115	Chiari malformation	(Arnold) Chiari malformation|Arnold-Chiari malformation|Chiari malformation	MONDO			2026-06-29
MONDO:0000118	reticulate pigment disorder	reticulate pigment disorders	MONDO			2026-06-29
MONDO:0000119	congenital heart defects, multiple types		MONDO			2026-06-29
MONDO:0000127	geleophysic dysplasia	geleophysic dwarfism	MONDO	DOID:0111724		2026-06-29
MONDO:0000128	giant axonal neuropathy		MONDO			2026-06-29
MONDO:0000129	glutaric aciduria	glutaric acidemia|glutaric aciduria|glutaric aciduria (disease)	MONDO			2026-06-29
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	immunodeficiency-centromeric instability-facial anomalies|immunodeficiency-centromeric instability-facial anomalies syndrome	MONDO	DOID:0090007		2026-06-29
MONDO:0000136	keratosis follicularis spinulosa decalvans	keratosis pilaris decalvans	MONDO	DOID:0080753		2026-06-29
MONDO:0000137	leukoencephalopathy, megalencephalic		MONDO			2026-06-29
MONDO:0000138	metaphyseal chondrodysplasia	metaphyseal chondrodysplasia|metaphyseal chondrodysplasia (disease)	MONDO			2026-06-29
MONDO:0000141	mosaic variegated aneuploidy syndrome	Warburton-Anyane-Yeboa syndrome	MONDO	DOID:0080688		2026-06-29
MONDO:0000144	pregnancy loss, recurrent, susceptibility		MONDO			2026-06-29
MONDO:0000147	polyposis	multiple polyps|polyposis	MONDO			2026-06-29
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related		MONDO			2026-06-29
MONDO:0000151	symphalangism		MONDO			2026-06-29
MONDO:0000152	thiamine-responsive dysfunction syndrome	thiamine-responsive dysfunction syndrome	MONDO			2026-06-29
MONDO:0000153	transposition of the great arteries	TGA|TGV|complete transposition|great vessels transposition|transposition of great vessels|transposition of the great vessels	MONDO			2026-06-29
MONDO:0000155	triglyceride storage disease	inborn error of sequestering of triglyceride|inborn sequestering of triglyceride disorder|rare inborn error of sequestering of triglyceride	MONDO			2026-06-29
MONDO:0000156	trigonocephaly	trigonocephaly	MONDO			2026-06-29
MONDO:0000158	developmental dysplasia of the hip	congenital hip dysplasia	MONDO	DOID:0060930		2026-06-29
MONDO:0000159	bone marrow failure syndrome		MONDO			2026-06-29
MONDO:0000160	epilepsy, familial adult myoclonic		MONDO	DOID:0111689		2026-06-29
MONDO:0000162	autoimmune thyroid disease, susceptibility to		MONDO			2026-06-29
MONDO:0000166	encephalopathy, acute, infection-induced		MONDO			2026-06-29
MONDO:0000167	Huntington disease and related disorders		MONDO			2026-06-29
MONDO:0000170	microphthalmia, isolated, with coloboma	MAC|colobomatous microphthalmia|microphthalmia with colobomatous cyst|microphthalmia-anophthalmia-coloboma syndrome	MONDO			2026-06-29
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	WWS|Walker-Warburg muscular dystrophy|Walker-Warburg syndrome|hard syndrome|hydrocephalus-agyria-retinal dysplasia syndrome	MONDO	DOID:0050560		2026-06-29
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B		MONDO	DOID:0112375		2026-06-29
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C		MONDO			2026-06-29
MONDO:0000179	Neu-Laxova syndrome		MONDO			2026-06-29
MONDO:0000181	microcephaly and chorioretinopathy		MONDO			2026-06-29
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	CMS-TA|myasthenic syndrome, congenital, with tubular aggregates	MONDO			2026-06-29
MONDO:0000188	GLUT1 deficiency syndrome	GLUT1 deficiency syndrome|GLUT1DS	MONDO	DOID:0070560		2026-06-29
MONDO:0000190	ventricular fibrillation	VF|VFib|fibrillation, ventricular|ventricular fibrillation|ventricular fibrillation (disease)	MONDO			2026-06-29
MONDO:0000192	polyglucosan body myopathy		MONDO			2026-06-29
MONDO:0000193	cortisone reductase deficiency	11-beta-hydroxysteroid dehydrogenase deficiency type 1|deficiency of (R)-20-hydroxysteroid dehydrogenase|deficiency of cortisone reductase|hyperandrogenism due to cortisone reductase deficiency	MONDO	DOID:0090139		2026-06-29
MONDO:0000200	Zimmermann-Laband syndrome	Laband syndrome|ZLS|Zimmerman Laband syndrome|Zimmermann-Laband syndrome type 1|gingival fibromatosis-hepatosplenomegaly-other anomalies syndrome	MONDO			2026-06-29
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	MSSGM1|microcephaly, short stature, and impaired glucose metabolism 1	MONDO			2026-06-29
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	SMABF|spinal muscular atrophy with congenital bone fractures	MONDO			2026-06-29
MONDO:0000210	thiopurine metabolic disease		MONDO			2026-06-29
MONDO:0000211	striatal degeneration, autosomal dominant	ADSD|autosomal dominant striatal neurodegeneration	MONDO			2026-06-29
MONDO:0000212	hypercalcemia, infantile	autosomal recessive hypercalcemia, infantile|autosomal recessive infantile hypercalcemia|familial infantile hypercalcemia with suppressed intact parathyroid hormone|hypercalcemia disease of infancy|hypercalcemia, idiopathic, of infancy|hypercalcemia, infantile|hypercalcemia, infantile, autosomal recessive|idiopathic infantile hypercalcemia|infantile hypercalcemia|infantile hypercalcemia disease|infantile onset hypercalcemia disease	MONDO			2026-06-29
MONDO:0000213	autoimmune disease, multisystem, infantile-onset		MONDO	DOID:0061159		2026-06-29
MONDO:0000214	hypermanganesemia with dystonia		MONDO	DOID:0080535		2026-06-29
MONDO:0000222	seminal vesicle acute gonorrhea	acute gonococcal seminal vesiculitis|gonococcal seminal vesiculitis, acute	MONDO	DOID:0050004		2026-06-29
MONDO:0000224	acquired carbohydrate metabolism disease		MONDO			2026-06-29
MONDO:0000225	human monocytic ehrlichiosis	Human Monocytic Ehrlichiosis (HME)|human ehrlichiosis due to Ehrlichia chaffeensis	MONDO	DOID:0050026		2026-06-29
MONDO:0000226	mineral metabolism disease	disease of mineral metabolism|disorder of mineral metabolism	MONDO			2026-06-29
MONDO:0000227	African tick-bite fever		MONDO	DOID:0050035		2026-06-29
MONDO:0000229	Indian tick typhus		MONDO	DOID:0050042		2026-06-29
MONDO:0000230	Israeli tick typhus		MONDO	DOID:0050043		2026-06-29
MONDO:0000231	Far eastern spotted fever		MONDO	DOID:0050046		2026-06-29
MONDO:0000232	Flinders island spotted fever		MONDO	DOID:0050047		2026-06-29
MONDO:0000233	Japanese spotted fever	Japanese spotted fever	MONDO	DOID:0050050		2026-06-29
MONDO:0000234	Rickettsia parkeri spotted fever		MONDO	DOID:0050051		2026-06-29
MONDO:0000236	oropharyngeal anthrax	oropharynx anthrax infection	MONDO	DOID:0050059		2026-06-29
MONDO:0000239	adiaspiromycosis	adiaspiromycosis|adiaspirosis|haplosporangiosis|pulmonary adiaspiromycosis	MONDO	DOID:0050072		2026-06-29
MONDO:0000240	invasive aspergillosis		MONDO	DOID:0050073		2026-06-29
MONDO:0000241	Keshan disease		MONDO	DOID:0050083		2026-06-29
MONDO:0000242	tinea barbae	beard dermatophytosis|dermatophytosis of beard	MONDO	DOID:0050096		2026-06-29
MONDO:0000243	ectothrix infectious disease		MONDO	DOID:0050097		2026-06-29
MONDO:0000244	endothrix infectious disease		MONDO	DOID:0050105		2026-06-29
MONDO:0000245	tinea imbricata		MONDO	DOID:0050116		2026-06-29
MONDO:0000248	dengue shock syndrome		MONDO	DOID:0050125		2026-06-29
MONDO:0000249	secretory diarrhea		MONDO	DOID:0050129		2026-06-29
MONDO:0000250	osmotic diarrheal disease	osmotic diarrhoea|permeability diarrhea|permeability diarrhoea	MONDO	DOID:0050130		2026-06-29
MONDO:0000251	diarrheal disease secondary to altered bowel motility	diarrhea secondary to altered bowel motility|diarrhoea secondary to altered bowel motility|motility-related diarrhea|motility-related diarrhoea	MONDO			2026-06-29
MONDO:0000252	inflammatory diarrhea		MONDO	DOID:0050132		2026-06-29
MONDO:0000253	piedra	hair shaft fungal infectious disease	MONDO			2026-06-29
MONDO:0000254	cutaneous mycosis		MONDO	DOID:0050134		2026-06-29
MONDO:0000255	subcutaneous mycosis		MONDO	DOID:0050135		2026-06-29
MONDO:0000256	systemic mycosis		MONDO	DOID:0050136		2026-06-29
MONDO:0000257	acute diarrhea	acute diarrheal disease|diarrhea (disease), acute|diarrhea, acute|diarrheal disease, acute|diarrhoea (disease), acute	MONDO	DOID:0050140		2026-06-29
MONDO:0000259	asymptomatic dengue		MONDO	DOID:0050143		2026-06-29
MONDO:0000261	adenoiditis	inflammation of pharyngeal tonsil|pharyngeal tonsil inflammation|pharyngeal tonsilitis	MONDO	DOID:0050145		2026-06-29
MONDO:0000262	otomycosis	external ear fungal infectious disease	MONDO	DOID:0050147		2026-06-29
MONDO:0000263	laryngotracheitis		MONDO	DOID:0050148		2026-06-29
MONDO:0000265	aspiration pneumonia	Mendelson syndrome|Mendelson's syndrome|Mendelsons syndrome|Pneumonias, aspiration|acid aspiration syndrome|acid aspiration syndromes|aspiration Pneumonias|aspiration pneumonia|aspiration pneumonia (disease)|gastric acid aspiration syndrome|syndrome, Mendelson|syndrome, Mendelson's|syndrome, acid aspiration|syndromes, acid aspiration	MONDO	DOID:0050152		2026-06-29
MONDO:0000266	pulmonary aspergilloma	lung aspergillosis	MONDO	DOID:0050153		2026-06-29
MONDO:0000270	lower respiratory tract disorder	disease of lower respiratory tract|disease or disorder of lower respiratory tract|disorder of lower respiratory tract|lower respiratory tract disease|lower respiratory tract disease or disorder	MONDO	DOID:0050161		2026-06-29
MONDO:0000271	tuberculous salpingitis		MONDO	DOID:0050166		2026-06-29
MONDO:0000273	Kunjin virus infectous disease		MONDO	DOID:0050174		2026-06-29
MONDO:0000276	Powassan encephalitis	Powassan virus caused disease or disorder|Powassan virus disease or disorder|Powassan virus infectious disease|powassan encephalitis virus infection	MONDO	DOID:0050179		2026-06-29
MONDO:0000282	Whitewater Arroyo hemorrhagic fever		MONDO	DOID:0050199		2026-06-29
MONDO:0000283	Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type		MONDO	DOID:0050200		2026-06-29
MONDO:0000284	Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type	nephropathis epidemica	MONDO	DOID:0050201		2026-06-29
MONDO:0000286	Epstein-Barr virus hepatitis		MONDO	DOID:0050204		2026-06-29
MONDO:0000288	polycystic echinococcosis	human polycystic hydatid disease|neotropical echinococcosis	MONDO	DOID:0050218		2026-06-29
MONDO:0000290	primary amebic meningoencephalitis	Naegleria fowleri infection	MONDO	DOID:0050242		2026-06-29
MONDO:0000291	granulomatous amebic encephalitis		MONDO	DOID:0050246		2026-06-29
MONDO:0000292	philophthalmiasis	Philophthalmus caused disease or disorder|Philophthalmus disease or disorder|Philophthalmus infectious disease	MONDO	DOID:0050250		2026-06-29
MONDO:0000293	coenurosis	caenurosis|coenuriasis|coenurosis	MONDO	DOID:0050251		2026-06-29
MONDO:0000294	mesocestoidiasis	Mesocestoides caused disease or disorder|Mesocestoides disease or disorder|Mesocestoides infectious disease|infection by Mesocestoides	MONDO	DOID:0050253		2026-06-29
MONDO:0000295	acanthocephaliasis	Acanthocephala caused disease or disorder|Acanthocephala disease or disorder|Acanthocephala infectious disease|disease caused by Acanthocephala|disease due to Acanthocephala|infection by Acanthocephala|infection by thorny-headed worm	MONDO	DOID:0050254		2026-06-29
MONDO:0000297	baylisascariasis	Baylisascaris procyonis caused disease or disorder|Baylisascaris procyonis disease or disorder|Baylisascaris procyonis infectious disease|raccoon roundworm infection	MONDO	DOID:0050259		2026-06-29
MONDO:0000298	dioctophymiasis	Dioctophyme renale caused disease or disorder|Dioctophyme renale disease or disorder|Dioctophyme renale infection|Dioctophyme renale infectious disease	MONDO	DOID:0050260		2026-06-29
MONDO:0000299	thelaziasis	Thelazia caused disease or disorder|Thelazia disease or disorder|Thelazia infectious disease|infection by Thelazia|thelaziasis	MONDO	DOID:0050261		2026-06-29
MONDO:0000301	ophthalmomyiasis	Oestrus ovis caused myiasis|Oestrus ovis myiasis|ophthalmic myiasis|ophthalmomyiasis	MONDO	DOID:0050268		2026-06-29
MONDO:0000302	basidiobolomycosis	Basidiobolus caused disease or disorder|Basidiobolus disease or disorder|Basidiobolus infectious disease|basidiobolomycosis|infection by Basidiobolus|infection caused by Basidiobolus	MONDO	DOID:0050278		2026-06-29
MONDO:0000303	conidiobolomycosis	Conidiobolus infectious disease|infection by Conidiobolus	MONDO	DOID:0050279		2026-06-29
MONDO:0000304	penicilliosis	Penicillium marneffei infectious disease|Talaromyces marneffei caused disease or disorder|Talaromyces marneffei disease or disorder|Talaromyces marneffei infectious disease|infection caused by Penicillium marneffei|infection caused by Talaromyces marneffei|infection due to Penicillium marneffei	MONDO	DOID:0050288		2026-06-29
MONDO:0000306	trichosporonosis	Trichosporon caused disease or disorder|Trichosporon disease or disorder|Trichosporon infectious disease	MONDO	DOID:0050290		2026-06-29
MONDO:0000307	parasitic Ichthyosporea infectious disease	Ichthyosporea caused disease or disorder|Ichthyosporea disease or disorder|Ichthyosporea infectious disease	MONDO	DOID:0050291		2026-06-29
MONDO:0000308	primary systemic mycosis		MONDO	DOID:0050292		2026-06-29
MONDO:0000309	aniseikonia		MONDO	DOID:0050304		2026-06-29
MONDO:0000310	Alkhurma hemorrhagic fever	Alkhumra hemorrhagic fever virus caused disease or disorder|Alkhumra hemorrhagic fever virus disease or disorder|Alkhumra hemorrhagic fever virus infectious disease	MONDO	DOID:0050308		2026-06-29
MONDO:0000313	hypophosphatemia	hypophosphatemia|hypophosphatemia (disease)	MONDO	DOID:0050336		2026-06-29
MONDO:0000314	primary bacterial infectious disease		MONDO	DOID:0050338		2026-06-29
MONDO:0000315	commensal bacterial infectious disease		MONDO	DOID:0050339		2026-06-29
MONDO:0000316	opportunistic bacterial infectious disease		MONDO	DOID:0050340		2026-06-29
MONDO:0000320	glandular tularemia	lymph node tularemia	MONDO	DOID:0050382		2026-06-29
MONDO:0000321	typhoidal tularemia		MONDO	DOID:0050383		2026-06-29
MONDO:0000327	Buruli ulcer disease	Buruli ulcer|Mycobacterium ulcerans caused disease or disorder|Mycobacterium ulcerans disease or disorder|Mycobacterium ulcerans infectious disease	MONDO	DOID:0050456		2026-06-29
MONDO:0000328	hyperphosphatemia	hyperphosphatemia|hyperphosphatemia (disease)	MONDO	DOID:0050459		2026-06-29
MONDO:0000330	endemic typhus	endemic flea-borne typhus|endemic typhus fever|murine typhus|urban typhus	MONDO	DOID:0050481		2026-06-29
MONDO:0000331	Rickettsia helvetica spotted fever	Rickettsia helvetica aneruptive fever|Rickettsia helvetica caused disease or disorder|Rickettsia helvetica disease or disorder|Rickettsia helvetica infectious disease|aneruptive fever	MONDO	DOID:0050484		2026-06-29
MONDO:0000332	sennetsu fever	Neorickettsia sennetsu caused disease or disorder|Neorickettsia sennetsu disease or disorder|Neorickettsia sennetsu infectious disease|sennetsu fever	MONDO	DOID:0050485		2026-06-29
MONDO:0000333	early congenital syphilis		MONDO	DOID:0050488		2026-06-29
MONDO:0000334	multinodular goiter	goiter, multinodular	MONDO	DOID:0050489		2026-06-29
MONDO:0000335	parenchymatous neurosyphilis		MONDO	DOID:0050490		2026-06-29
MONDO:0000336	meningovascular neurosyphilis		MONDO	DOID:0050491		2026-06-29
MONDO:0000337	exanthema subitum	exanthem subitum|roseola|roseola Infantum|sixth disease	MONDO	DOID:0050495		2026-06-29
MONDO:0000338	variola major infectious disease		MONDO	DOID:0050508		2026-06-29
MONDO:0000339	spinal polio		MONDO	DOID:0050513		2026-06-29
MONDO:0000340	bulbospinal polio		MONDO	DOID:0050514		2026-06-29
MONDO:0000341	paralytic poliomyelitis		MONDO	DOID:0050515		2026-06-29
MONDO:0000342	O'nyong'nyong fever	O'nyong-nyong virus caused disease or disorder|O'nyong-nyong virus disease or disorder|O'nyong-nyong virus infectious disease	MONDO	DOID:0050516		2026-06-29
MONDO:0000343	Barmah forest virus disease	Barmah Forest virus caused disease or disorder|Barmah Forest virus disease or disorder|Barmah Forest virus infectious disease	MONDO	DOID:0050517		2026-06-29
MONDO:0000344	Ross river fever	Ross River virus caused disease or disorder|Ross River virus disease|Ross River virus disease or disorder|Ross River virus infectious disease	MONDO	DOID:0050518		2026-06-29
MONDO:0000345	Oropouche fever	Oropouche virus caused disease or disorder|Oropouche virus disease or disorder|Oropouche virus infectious disease	MONDO	DOID:0050521		2026-06-29
MONDO:0000346	Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type	Balkan hemorrhagic fever	MONDO	DOID:0050522		2026-06-29
MONDO:0000351	disorder of methionine catabolism	hypermethioninemia|inborn error of methionine catabolic process|inborn methionine catabolic process disorder|rare inborn error of methionine catabolic process	MONDO	DOID:0050544		2026-06-29
MONDO:0000355	Ullrich congenital muscular dystrophy	UCMD|Ullrich scleroatonic muscular dystrophy|scleroatonic Ullrich disease|scleroatonic muscular dystrophy	MONDO	DOID:0050558		2026-06-29
MONDO:0000358	orofacial cleft		MONDO	DOID:0050567		2026-06-29
MONDO:0000359	spondylocostal dysostosis	Spondylocostal Dysplasia|costovertebral dysplasia|spondylocostal dysostosis|spondylocostal dysplasia	MONDO	DOID:0050568		2026-06-29
MONDO:0000363	gummatous syphilis		MONDO	DOID:0050584		2026-06-29
MONDO:0000365	primary congenital glaucoma	primary congenital glaucoma|primary congenital glaucoma (disease)	MONDO	DOID:0050593		2026-06-29
MONDO:0000367	taeniasis	Taenia infection|taenia saginata infection	MONDO	DOID:0050596		2026-06-29
MONDO:0000368	extrapulmonary tuberculosis		MONDO	DOID:0050598		2026-06-29
MONDO:0000369	abdominal tuberculosis	tuberculosis of abdomen	MONDO	DOID:0050599		2026-06-29
MONDO:0000371	oral cavity carcinoma in situ	carcinoma in situ of mouth|carcinoma in situ of oral cavity|carcinoma in situ of the mouth|carcinoma in situ of the oral cavity|mouth carcinoma in situ|oral cavity in situ carcinoma|stage 0 carcinoma of mouth|stage 0 carcinoma of oral cavity|stage 0 carcinoma of the mouth|stage 0 carcinoma of the oral cavity|stage 0 mouth carcinoma|stage 0 oral cavity cancer|stage 0 oral cavity cancer aJCC v6|stage 0 oral cavity cancer aJCC v6 and v7|stage 0 oral cavity cancer aJCC v7|stage 0 oral cavity carcinoma	MONDO	DOID:0050610		2026-06-29
MONDO:0000372	pharynx carcinoma in situ	carcinoma in situ of pharynx|carcinoma in situ of the pharynx|pharyngeal cancer stage 0|pharyngeal carcinoma in situ|pharynx carcinoma in situ|pharynx in situ carcinoma|stage 0 carcinoma of pharynx|stage 0 carcinoma of the pharynx|stage 0 pharyngeal cancer|stage 0 pharyngeal carcinoma|stage 0 pharyngeal throat cancer|stage 0 pharynx carcinoma	MONDO	DOID:0050611		2026-06-29
MONDO:0000373	gall bladder carcinoma in situ	carcinoma in situ of gall bladder|gall bladder in situ carcinoma|stage 0 gall bladder carcinoma	MONDO	DOID:0050612		2026-06-29
MONDO:0000374	bile duct carcinoma in situ	bile duct in situ carcinoma|carcinoma in situ of bile duct|stage 0 bile duct carcinoma	MONDO	DOID:0050613		2026-06-29
MONDO:0000375	bronchus carcinoma in situ	bronchus in situ carcinoma|carcinoma in situ of bronchus|stage 0 bronchus carcinoma	MONDO	DOID:0050614		2026-06-29
MONDO:0000376	respiratory system cancer	cancer of respiratory system|malignant neoplasm of respiratory system|malignant respiratory system neoplasm|respiratory system cancer	MONDO	DOID:0050615		2026-06-29
MONDO:0000377	malignant Leydig cell tumor	Leydig cell cancer|Leydig cell tumor, malignant|cancer of Leydig cell|malignant Leydig cell neoplasm|malignant interstitial cell neoplasm|malignant neoplasm of Leydig cell	MONDO			2026-06-29
MONDO:0000378	malignant Sertoli cell tumor	Sertoli cell tumor, malignant|malignant Androblastoma	MONDO			2026-06-29
MONDO:0000379	malignant Sertoli-Leydig cell tumor	Sertoli-Leydig cell tumor, malignant	MONDO			2026-06-29
MONDO:0000380	paranasal sinus carcinoma	accessory sinus cancer|accessory sinus carcinoma|cancer of paranasal sinus|carcinoma of accessory sinus|carcinoma of paranasal sinus|carcinoma of the accessory sinus|carcinoma of the paranasal sinus|paranasal sinus carcinoma	MONDO	DOID:0050619		2026-06-29
MONDO:0000381	infiltrating renal pelvis transitional cell carcinoma		MONDO	DOID:0050620		2026-06-29
MONDO:0000382	respiratory system benign neoplasm	respiratory system benign neoplasm	MONDO	DOID:0050621		2026-06-29
MONDO:0000383	benign reproductive system neoplasm	benign reproductive system neoplasm|reproductive organ benign neoplasm	MONDO	DOID:0050622		2026-06-29
MONDO:0000384	bladder benign neoplasm	benign bladder neoplasm|benign bladder tumor|benign bladder tumour|benign neoplasm of bladder|benign neoplasm of the bladder|benign neoplasm of the urinary bladder|benign neoplasm of urinary bladder|benign tumor of bladder|benign tumor of the bladder|benign tumor of the urinary bladder|benign tumor of urinary bladder|benign tumour of bladder|benign tumour of the bladder|benign tumour of the urinary bladder|benign tumour of urinary bladder|benign urinary bladder neoplasm|benign urinary bladder tumor|benign urinary bladder tumour|urinary bladder benign neoplasm	MONDO	DOID:0050623		2026-06-29
MONDO:0000385	benign digestive system neoplasm	alimentary part of gastrointestinal system benign neoplasm|benign GI neoplasm|benign GI system neoplasm|benign GI system tumor|benign GI system tumour|benign GI tumor|benign GI tumour|benign digestive system tumor|benign digestive system tumour|benign gastrointestinal neoplasm|benign gastrointestinal system tumor|benign gastrointestinal system tumour|benign gastrointestinal tumor|benign gastrointestinal tumour|benign neoplasm of digestive system|benign neoplasm of gastrointestinal system|benign neoplasm of the digestive system|benign tumor of GI system|benign tumor of digestive system|benign tumor of gastrointestinal system|benign tumor of the GI system|benign tumor of the digestive system|benign tumor of the gastrointestinal system|benign tumour of GI system|benign tumour of digestive system|benign tumour of gastrointestinal system|benign tumour of the GI system|benign tumour of the digestive system|benign tumour of the gastrointestinal system	MONDO	DOID:0050624		2026-06-29
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2		MONDO	DOID:0050626		2026-06-29
MONDO:0000387	hypochromic microcytic anemia	hypochromic microcytic anaemia (disease)|hypochromic microcytic anemia|hypochromic microcytic anemia (disease)	MONDO	DOID:0050642		2026-06-29
MONDO:0000389	atelosteogenesis		MONDO	DOID:0050648		2026-06-29
MONDO:0000390	vitelliform macular dystrophy	macular dystrophy, vitelliform|vitelliform macular dystrophy	MONDO	DOID:0050661		2026-06-29
MONDO:0000393	partial fetal alcohol syndrome		MONDO	DOID:0050666		2026-06-29
MONDO:0000395	alcohol-related birth defect	ARBD|alcohol related birth defect	MONDO	DOID:0050668		2026-06-29
MONDO:0000396	spastic cerebral palsy		MONDO	DOID:0050669		2026-06-29
MONDO:0000397	ataxic cerebral palsy		MONDO	DOID:0050670		2026-06-29
MONDO:0000400	mixed cerebral palsy		MONDO	DOID:0050673		2026-06-29
MONDO:0000402	small cell carcinoma	oat cell cancer|oat cell carcinoma|small cell NEC|small cell cancer|small cell car. (extrapulmonary)|small cell carcinoma|small cell carcinoma (extrapulmonary)|small cell neuroendocrine carcinoma	MONDO	DOID:0050685		2026-06-29
MONDO:0000405	anal canal cancer	anal canal cancer|cancer of anal canal|malignant anal canal neoplasm|malignant neoplasm of anal canal	MONDO	DOID:0050688		2026-06-29
MONDO:0000407	malignant pleural solitary fibrous tumor	pleural solitary fibrous tumor, malignant	MONDO	DOID:0050695		2026-06-29
MONDO:0000408	fetal alcohol spectrum disorder	fetal alcohol spectrum disorders|foetal alcohol spectrum disorders	MONDO	DOID:0050696		2026-06-29
MONDO:0000409	chorioamnionitis	fetal membrane inflammation|foetal membrane inflammation|inflammation of fetal membrane|inflammation of foetal membrane|intra-amniotic infection	MONDO	DOID:0050697		2026-06-29
MONDO:0000410	funisitis		MONDO	DOID:0050698		2026-06-29
MONDO:0000415	adolescence-adult electroclinical syndrome		MONDO	DOID:0050705		2026-06-29
MONDO:0000421	inborn serine deficiency	inborn L-serine biosynthetic process disorder|inborn error of L-serine biosynthetic process|rare inborn error of L-serine biosynthetic process	MONDO	DOID:0050721		2026-06-29
MONDO:0000425	X-linked disease	X-linked disease or disorder|X-linked hereditary disease|X-linked hereditary disorder|X-linked inherited disease|X-linked inherited disorder|disease or disorder, X-linked|disease, X-linked	MONDO	DOID:0050735		2026-06-29
