disease_id	molecule_id	relation_type	source	evidence_class	molecule_backbone_mapped	fetch_date
MONDO:0005494	DB12893	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0015277	DB15685	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0011719	DB14840	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0019100	DB12530	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0008433	DB12674	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018881	DB15694	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0020311	DB15694	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0003471	DB11932	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001516	DB15305	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0010679	DB15005	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0003785	DB16824	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004907	DB16824	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0007254	DB00858	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB13989	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005136	DB06608	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0009877	DB14751	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005607	DB13315	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005178	DB13363	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005109	DB12698	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0010619	DB14012	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0008000	DB14039	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0002049	DB11995	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0017137	DB11431	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005247	DB12615	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0016532	DB09061	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0100135	DB09061	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005191	DB11718	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005191	DB11967	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0010096	DB12161	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005316	DB12834	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0009412	DB14483	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018876	DB11703	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005338	DB11660	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006875	DB11660	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005132	DB12070	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004802	DB12023	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0009662	DB12366	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0011786	DB11614	indication	DrugCentral	curated_indication	True	2026-06-29
