hpo_id	term	synonyms	source	hierarchy_reference	fetch_date
HP:0000001	All		HPO		2026-06-29
HP:0000002	Abnormality of body height	Abnormality of body height	HPO		2026-06-29
HP:0000003	Multicystic kidney dysplasia	Multicystic dysplastic kidney|Multicystic kidneys|Multicystic renal dysplasia	HPO		2026-06-29
HP:0000005	Mode of inheritance	Inheritance	HPO		2026-06-29
HP:0000006	Autosomal dominant inheritance	Autosomal dominant|Autosomal dominant form|Autosomal dominant type|monoallelic_autosomal	HPO		2026-06-29
HP:0000007	Autosomal recessive inheritance	Autosomal recessive|Autosomal recessive form|Autosomal recessive predisposition|biallelic_autosomal	HPO		2026-06-29
HP:0000008	Abnormal morphology of female internal genitalia	Abnormality of female internal genitalia	HPO		2026-06-29
HP:0000009	Functional abnormality of the bladder	Poor bladder function	HPO		2026-06-29
HP:0000010	Recurrent urinary tract infections	Frequent urinary tract infections|Recurrent UTIs|Repeated bladder infections|Repeated urinary tract infections|Urinary tract infections|Urinary tract infections, recurrent	HPO		2026-06-29
HP:0000011	Neurogenic bladder	Lack of bladder control due to nervous system injury	HPO		2026-06-29
HP:0000012	Urinary urgency	Overactive bladder|Overactive bladder syndrome|Urgency frequency syndrome|Urgent micturition|Urinary urgency	HPO		2026-06-29
HP:0000013	Hypoplasia of the uterus	Hypoplastic uterus|Rudimentary uterus|Small uterus|Underdeveloped uterus	HPO		2026-06-29
HP:0000014	Abnormality of the bladder		HPO		2026-06-29
HP:0000015	Bladder diverticulum	Bladder diverticula	HPO		2026-06-29
HP:0000016	Urinary retention	Increased post-void residual urine volume	HPO		2026-06-29
HP:0000017	Nocturia	Nycturia	HPO		2026-06-29
HP:0000019	Urinary hesitancy	Difficulty with flow	HPO		2026-06-29
HP:0000020	Urinary incontinence	Bladder incontinence|Loss of bladder control	HPO		2026-06-29
HP:0000021	Megacystis		HPO		2026-06-29
HP:0000022	Abnormal male internal genitalia morphology		HPO		2026-06-29
HP:0000023	Inguinal hernia		HPO		2026-06-29
HP:0000024	Prostatitis	Inflammation of the prostate	HPO		2026-06-29
HP:0000025	Functional abnormality of male internal genitalia		HPO		2026-06-29
HP:0000026	Male hypogonadism	Decreased function of male gonad	HPO		2026-06-29
HP:0000027	Azoospermia	Absent sperm in semen	HPO		2026-06-29
HP:0000028	Cryptorchidism	Cryptorchism|Undescended testes|Undescended testis	HPO		2026-06-29
HP:0000029	Testicular atrophy	Testicular degeneration	HPO		2026-06-29
HP:0000030	Testicular gonadoblastoma	Gonadoblastoma, male	HPO		2026-06-29
HP:0000031	Epididymitis		HPO		2026-06-29
HP:0000032	Abnormal male external genitalia morphology	Abnormality of male external genitalia	HPO		2026-06-29
HP:0000033	Ambiguous genitalia, male	Ambiguous genitalia in males	HPO		2026-06-29
HP:0000034	Hydrocele testis	Testicular hydrocele	HPO		2026-06-29
HP:0000035	Abnormal testis morphology	Abnormality of the testis|Anomaly of the testes	HPO		2026-06-29
HP:0000036	Abnormal penis morphology	Abnormality of the penis	HPO		2026-06-29
HP:0000037	Male pseudohermaphroditism		HPO		2026-06-29
HP:0000039	Epispadias		HPO		2026-06-29
HP:0000040	Long penis	Enlarged penis|Long penis	HPO		2026-06-29
HP:0000041	Chordee		HPO		2026-06-29
HP:0000042	Absent external genitalia	Absent external genitalia	HPO		2026-06-29
HP:0000044	Hypogonadotropic hypogonadism	Hypogonadotrophic hypogonadism|Isolated hypogonadotropic hypogonadism|Low gonadotropins (secondary hypogonadism)	HPO		2026-06-29
HP:0000045	Abnormal scrotum morphology	Abnormality of the scrotum	HPO		2026-06-29
HP:0000046	Small scrotum	Hypoplastic scrotum|Scrotal hypoplasia|Smaller than typical growth of scrotum|Underdeveloped scrotum	HPO		2026-06-29
HP:0000047	Hypospadias	Hypospadia	HPO		2026-06-29
HP:0000048	Bifid scrotum	Cleft of scrotum|Scrotal cleft	HPO		2026-06-29
HP:0000049	Shawl scrotum	Overriding scrotum|Scrotum surrounds penis	HPO		2026-06-29
HP:0000050	Hypoplastic male external genitalia	Hypoplastic male genitalia|Small male external genitalia|Underdeveloped male genitalia	HPO		2026-06-29
HP:0000051	Perineal hypospadias		HPO		2026-06-29
HP:0000052	Urethral atresia, male		HPO		2026-06-29
HP:0000053	Macroorchidism	Large testicles|Large testis	HPO		2026-06-29
HP:0000054	Micropenis	Short penis|Small penis	HPO		2026-06-29
HP:0000055	Abnormal female external genitalia morphology	Abnormal female external genitalia|Abnormality of female external genitalia	HPO		2026-06-29
HP:0000056	Abnormal clitoris morphology	Abnormality of the clit|Abnormality of the clitoris	HPO		2026-06-29
HP:0000058	Abnormal labia morphology	Abnormality of the labia	HPO		2026-06-29
HP:0000059	Hypoplastic labia majora	Hypoplasia of labia majora|Small labia majora|Underdeveloped vaginal lips	HPO		2026-06-29
HP:0000060	Clitoral hypoplasia	Hypoplastic clitoris|Small clitoris|Underdeveloped clit	HPO		2026-06-29
HP:0000061	Ambiguous genitalia, female	Ambiguous genitalia due to virilization|Atypical appearance of female genitals	HPO		2026-06-29
HP:0000062	Ambiguous genitalia	Ambiguous external genitalia|Ambiguous external genitalia at birth|Intersex genitalia	HPO		2026-06-29
HP:0000063	Fused labia minora	Fused inner lips	HPO		2026-06-29
HP:0000064	Hypoplastic labia minora	Underdeveloped inner lips	HPO		2026-06-29
HP:0000065	Labial hypertrophy	Enlarged vaginal lips|Enlargement of the labia|Enlargement of the vaginal lips	HPO		2026-06-29
HP:0000066	Labial hypoplasia	Hypoplastic labia|Underdeveloped labia	HPO		2026-06-29
HP:0000067	Urethral atresia, female		HPO		2026-06-29
HP:0000068	Urethral atresia	Absent urethral opening|Urethral opening absent	HPO		2026-06-29
HP:0000069	Abnormality of the ureter	Abnormality of the ureters|Ureter issue|Ureteral anomalies	HPO		2026-06-29
HP:0000070	Ureterocele		HPO		2026-06-29
HP:0000071	Ureteral stenosis	Narrowing of the ureter|Ureteric stenosis	HPO		2026-06-29
HP:0000072	Hydroureter	Dilated ureter|Megaureter|Swelling of ureter|Ureteral dilatation|Uroureter|Wide ureter	HPO		2026-06-29
HP:0000073	Ureteral duplication	Double ureter	HPO		2026-06-29
HP:0000074	Ureteropelvic junction obstruction	Pelviureteric junction obstruction|Ureteropelvic junction stenosis	HPO		2026-06-29
HP:0000075	Renal duplication	Duplex kidney|Duplicated kidney|Extra kidney|Supernumerary kidney	HPO		2026-06-29
HP:0000076	Vesicoureteral reflux	Ureteral reflux|Ureteric reflux|VUR|Vesico-ureteral reflux|Vesicoureteric reflux	HPO		2026-06-29
HP:0000077	Abnormality of the kidney	Abnormal kidney|Abnormality of the kidney|Renal anomalies|Renal anomaly	HPO		2026-06-29
HP:0000078	Abnormality of the genital system	Abnormality of the reproductive system|Genital abnormalities|Genital abnormality|Genital anomalies|Genital defects	HPO		2026-06-29
HP:0000079	Abnormality of the urinary system	Urinary tract abnormalities|Urinary tract abnormality|Urinary tract anomalies	HPO		2026-06-29
HP:0000080	Abnormality of reproductive system physiology	Abnormality of reproductive system physiology|Genital functional abnormality	HPO		2026-06-29
HP:0000081	Duplicated collecting system	Double collecting system|Double urinary collecting systems on intravenous pyelography|Duplex collecting system|Duplicated renal collecting system	HPO		2026-06-29
HP:0000083	Renal insufficiency	Renal failure|Renal failure in adulthood	HPO		2026-06-29
HP:0000085	Horseshoe kidney	Horseshoe kidney|Horseshoe kidneys	HPO		2026-06-29
HP:0000086	Ectopic kidney	Abnormal kidney location|Displaced kidney|Ectopic kidneys|Renal ectopia	HPO		2026-06-29
HP:0000089	Renal hypoplasia	Hypoplastic kidney|Hypoplastic kidneys|Small kidneys|Underdeveloped kidneys	HPO		2026-06-29
HP:0000090	Nephronophthisis	juvenile nephronophthisis	HPO		2026-06-29
HP:0000091	Abnormal renal tubule morphology	Abnormality of the renal tubule|Morphologic abnormality of the renal tubules	HPO		2026-06-29
HP:0000092	Renal tubular atrophy	Renal tubular cell atrophy|Tubular atrophy	HPO		2026-06-29
HP:0000093	Proteinuria	High urine protein levels|Protein in urine	HPO		2026-06-29
HP:0000095	Abnormal renal glomerulus morphology	Abnormality of renal glomerulus morphology|Morphologic abnormality of the renal glomerulus	HPO		2026-06-29
HP:0000096	Glomerular sclerosis	Glomerulosclerosis	HPO		2026-06-29
HP:0000097	Focal segmental glomerulosclerosis	Focal and segmental glomerular sclerosis|Focal and segmental glomerulosclerosis|focal glomerulosclerosis	HPO		2026-06-29
HP:0000098	Tall stature	Accelerated linear growth|Increased body height|Increased linear growth|Tall stature	HPO		2026-06-29
HP:0000099	Glomerulonephritis	Glomerular nephritis	HPO		2026-06-29
HP:0000100	Nephrotic syndrome	Nephrosis	HPO		2026-06-29
HP:0000103	Polyuria	Increased urine output	HPO		2026-06-29
HP:0000104	Renal agenesis	Absent kidney|Missing kidney|Renal aplasia	HPO		2026-06-29
HP:0000105	Enlarged kidney	Enlarged kidney|Large kidney|Large kidneys|Nephromegaly|Renal enlargement	HPO		2026-06-29
HP:0000107	Renal cyst	Cystic kidney disease|Cystic kidneys|Kidney cyst|Renal cysts	HPO		2026-06-29
HP:0000108	Renal corticomedullary cysts	Corticomedullary renal cysts|Renal corticomedullary cystic disease	HPO		2026-06-29
HP:0000110	Renal dysplasia	Dysplastic kidneys|Renal adysplasia	HPO		2026-06-29
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia		HPO		2026-06-29
HP:0000112	Nephropathy		HPO		2026-06-29
HP:0000113	Polycystic kidney dysplasia	Polycystic kidney disease|Polycystic kidneys	HPO		2026-06-29
HP:0000114	Proximal tubulopathy	Proximal renal tubule defect|Proximal renal tubulopathy|Proximal tubular defect|Proximal tubule dysfunction|Selective proximal tubular damage	HPO		2026-06-29
HP:0000117	Renal phosphate wasting	Decreased renal tubular phosphate reabsorption|Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate|Tubular phosphate reabsorption low	HPO		2026-06-29
HP:0000118	Phenotypic abnormality	Organ abnormality	HPO		2026-06-29
HP:0000119	Abnormality of the genitourinary system	Abnormality of the GU system|Genitourinary abnormality|Genitourinary disease|Genitourinary dysplasia|Genitourinary tract anomalies|Genitourinary tract malformation|Urogenital abnormalities|Urogenital anomalies	HPO		2026-06-29
HP:0000121	Nephrocalcinosis	Increased calcium level in kidney|Too much calcium deposited in kidneys	HPO		2026-06-29
HP:0000122	Unilateral renal agenesis	Absent kidney on one side|Missing one kidney|Single kidney|Unilateral kidney agenesis	HPO		2026-06-29
HP:0000123	Nephritis	Kidney inflammation	HPO		2026-06-29
HP:0000124	Renal tubular dysfunction	Abnormal function of filtrating structures in kidney|Renal tubular defect|Renal tubular disease	HPO		2026-06-29
HP:0000125	Pelvic kidney	Sacral kidney	HPO		2026-06-29
HP:0000126	Hydronephrosis		HPO		2026-06-29
HP:0000127	Renal salt wasting	Loss of salt in urine|Renal salt-wasting|Salt wasting|Salt-wasting	HPO		2026-06-29
HP:0000128	Renal potassium wasting	Renal K wasting	HPO		2026-06-29
HP:0000130	Abnormality of the uterus	Abnormality of the uterus|Uterine abnormalities|Uterine malformations	HPO		2026-06-29
HP:0000131	Uterine leiomyoma	Benign uterine leiomyomas|Uterine fibroid	HPO		2026-06-29
HP:0000132	Menorrhagia	Abnormally heavy bleeding during menstruation|Abnormally heavy periods|Hypermenorrhea	HPO		2026-06-29
HP:0000133	Gonadal dysgenesis	Mixed gonadal dysgenesis|Pure gonadal dysgenesis	HPO		2026-06-29
HP:0000134	Female hypogonadism	Hypogonadism, female	HPO		2026-06-29
HP:0000135	Hypogonadism	Decreased activity of gonads	HPO		2026-06-29
HP:0000136	Bifid uterus		HPO		2026-06-29
HP:0000137	Abnormality of the ovary	Abnormality of the ovaries|Abnormality of the ovary|Ovarian disease	HPO		2026-06-29
HP:0000138	Ovarian cyst	Cystic abnormalities of the ovaries|Cystic ovaries|Ovarian cyst|Ovarian cystic abnormality	HPO		2026-06-29
HP:0000139	Uterine prolapse	Sagging uterus	HPO		2026-06-29
HP:0000140	Abnormality of the menstrual cycle	Abnormality of the menstrual cycle|Menstrual abnormalities	HPO		2026-06-29
HP:0000141	Amenorrhea	Abnormal absence of menstruation	HPO		2026-06-29
HP:0000142	Abnormal vagina morphology	Vaginal malformation	HPO		2026-06-29
HP:0000143	Rectovaginal fistula	Abnormal connection between rectum and vagina	HPO		2026-06-29
HP:0000144	Decreased fertility	Abnormal fertility|Decreased fertility	HPO		2026-06-29
HP:0000145	Transverse vaginal septum	Transverse vaginal membrane	HPO		2026-06-29
HP:0000147	Polycystic ovaries	Polycystic ovary|Polycystic ovary disease|Sclerocystic ovaries	HPO		2026-06-29
HP:0000148	Vaginal atresia	Abnormally closed or absent vagina	HPO		2026-06-29
HP:0000149	Ovarian gonadoblastoma	Gonadoblastoma, female	HPO		2026-06-29
HP:0000150	Gonadoblastoma		HPO		2026-06-29
HP:0000151	Aplasia of the uterus	Absent uterus|uterus absent	HPO		2026-06-29
HP:0000152	Abnormality of head or neck	Abnormality of head or neck|Head and neck abnormality	HPO		2026-06-29
HP:0000153	Abnormality of the mouth	Abnormal mouth|Abnormality of the mouth	HPO		2026-06-29
HP:0000154	Wide mouth	Broad mouth|Large mouth|Large oral aperture|Macrostomia|Wide mouth	HPO		2026-06-29
HP:0000155	Oral ulcer	Mouth ulcer|Oral mucosal ulceration	HPO		2026-06-29
HP:0000157	Abnormality of the tongue	Abnormal tongue|Abnormality of the tongue|Glossal abnormality|Lingual abnormality|Tongue abnormality	HPO		2026-06-29
HP:0000158	Macroglossia	Abnormally large tongue|Hyperplasia of the tongue|Hypertrophy of the tongue|Increased size of tongue|Large tongue|Tongue hypertrophy	HPO		2026-06-29
HP:0000159	Abnormal lip morphology	Abnormal lip|Abnormality of the lip|Lip abnormality	HPO		2026-06-29
HP:0000160	Narrow mouth	Microstomia|Narrow mouth|Small mouth|Small oral aperture	HPO		2026-06-29
HP:0000161	Median cleft upper lip	Central cleft upper lip|Midline cleft lip	HPO		2026-06-29
HP:0000162	Glossoptosis	Lingual retraction|Retraction of the tongue	HPO		2026-06-29
HP:0000163	Abnormal oral cavity morphology	Abnormality of the oral cavity	HPO		2026-06-29
HP:0000164	Abnormality of the dentition	Abnormal dentition|Abnormal teeth|Abnormality of the teeth|Dental abnormalities|Dental abnormality|Dental anomalies|Dental problem|Dental problems|Tooth abnormalities	HPO		2026-06-29
HP:0000166	Severe periodontitis	Early-onset aggressive periodontitis|Prepubertal periodontitis|Severe aggressive periodontitis|Severe periodontal disease|Severe pyorrhea	HPO		2026-06-29
HP:0000168	Abnormality of the gingiva	Abnormality of the gums|Gingival abnormality	HPO		2026-06-29
HP:0000169	Gingival fibromatosis	Gingival fibroma|Gingival fibrous nodules	HPO		2026-06-29
HP:0000171	Microglossia	Abnormally small tongue|Decreased size of tongue|Hypoglossia|Hypoplasia of the tongue|Hypoplastic tongue|Lingual hypoplasia|Rudimentary tongue|Small tongue|Underdevelopment of the tongue	HPO		2026-06-29
HP:0000172	Abnormal uvula morphology	Abnormality of palatine uvula|Abnormality of the uvula	HPO		2026-06-29
HP:0000174	Abnormal palate morphology	Abnormality of the palate|Abnormality of the roof of the mouth|Palatal anomaly|Palate abnormality	HPO		2026-06-29
HP:0000175	Cleft palate	Cleft hard and soft palate|Cleft of hard and soft palate|Cleft of palate|Cleft palate|Cleft roof of mouth|Palatoschisis|Uranostaphyloschisis	HPO		2026-06-29
HP:0000176	Submucous cleft hard palate	Partial thickness cleft hard palate	HPO		2026-06-29
HP:0000177	Abnormal upper lip morphology	Abnormality of upper lip	HPO		2026-06-29
HP:0000178	Abnormal lower lip morphology	Abnormality of lower lip	HPO		2026-06-29
HP:0000179	Thick lower lip vermilion	Full lower lip|Full lower lip vermilion|Increased height of lower lip vermilion|Increased volume of lower lip|Increased volume of lower lip vermilion|Plump lower lip|Prominent lower lip|Thick lower lip|Thick vermilion border of lower lip	HPO		2026-06-29
HP:0000180	Lobulated tongue	Bumpy tongue|Lingual lobules|Lobulate tongue	HPO		2026-06-29
HP:0000182	Movement abnormality of the tongue	Abnormality of lingual movement|Movement abnormality of the tongue	HPO		2026-06-29
HP:0000183	Tongue muscle weakness		HPO		2026-06-29
HP:0000185	Cleft soft palate	Cleft muscular palate|Cleft of soft palate|Cleft velum	HPO		2026-06-29
HP:0000187	Broad alveolar ridges	Broad alveolar margins|Broad alveolar processes of jaw|Wide alveolar margins|Wide alveolar processes of jaw|Wide gum ridges|Widened alveolar ridges	HPO		2026-06-29
HP:0000188	Short upper lip	Decreased height of upper lip|Decreased upper labial height|Decreased upper labial length|Decreased vertical length of upper lip|Short upper lip|Shortening of upper lip|Vertical deficiency of upper lip	HPO		2026-06-29
HP:0000189	Narrow palate	Decreased palatal width|Decreased transverse dimension of palate|Narrow palate|Narrow roof of mouth	HPO		2026-06-29
HP:0000190	Abnormal oral frenulum morphology	Abnormality of frenum of tongue|Abnormality of lingual frenum|Abnormality of oral frenula|Abnormality of oral frenum	HPO		2026-06-29
HP:0000191	Accessory oral frenulum	Accessory oral frenum|Extra oral frenulum|Extra oral frenum|Multiple oral frenula|Supernumerary oral frenulum|Supernumerary oral frenum	HPO		2026-06-29
