evidence_id	edge_id	evidence_type	method	score	reference	source	source_version	fetch_date
ev_00f1c4c064075afef1bc	rpi_5cea50be2dc58618	rna_protein_interaction	reference_backed_record		A1CF:CH2	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_011cf11c808fa8f71a3f	rpi_5207e9578b663144	rna_protein_interaction	reference_backed_record		A1CF:CH3	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_0157e38d079a52f66f34	rpi_fb4f55b7befa6d0d	rna_protein_interaction	reference_backed_record		AATF:CH253	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_0263f229e59b3d2fe534	rpi_a32410603e78a8f8	rna_protein_interaction	reference_backed_record		AATF:CH332	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_02a68cb0b62dd36f33b9	rpi_4cfa7dc1f0d81d9a	rna_protein_interaction	reference_backed_record		AATF:CH474	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_03dd8c87cfc0ef4c0fb8	rpi_336e7f655338ea11	rna_protein_interaction	reference_backed_record		A1CF:CH52	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_058731e48b7e70c37dfb	rpi_d93038b53e77c70e	rna_protein_interaction	reference_backed_record		A1CF:CH4	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_05a8fc060cf0ba814cfc	rpi_1f773bb4025e08d5	rna_protein_interaction	reference_backed_record		A1CF:CH51	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_05d736ad22eb1b80ebb5	rpi_3f866040fa7ef60a	rna_protein_interaction	reference_backed_record		A1CF:CH66	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
ev_05f2f2fce2b58d6e04c0	rpi_4cfa7dc1f0d81d9a	rna_protein_interaction	reference_backed_record		AATF:CH473	starBase	ENCORI_API_RBPTarget_hg38_mRNA_clipExpNum_ge_1_target_all_cellType_all	2026-04-12
