context_id	edge_id	protein_id	function_relation	inference_basis	evidence_snippet	source	source_version	fetch_date
rpi_function_0010598d82fd0be61bd2	rpi_540cff7029a39885	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_003dfe58a49932c9a9ae	rpi_8b8d4c5f7c0fc8c4	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0068e514f6ee7654b2b0	rpi_f919390c1e87cd25	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0085c112a553d7e9d577	rpi_ffc1ce6e562332cc	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0242dc25d2e2480a07f1	rpi_73b352b7f4442247	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_025077f5212301d4260e	rpi_d166fd4788beb0df	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0260634ae7b81626e11a	rpi_607d5836af1024f2	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_02ca63b86cc869bc35fb	rpi_3fed42c7f75bd382	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_02edea0e11ca76b6ffac	rpi_6999b2c7612f70d5	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_037b53c64877fcbb786e	rpi_fb5169958967844c	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_03ed608b3e1f36040ffc	rpi_396289a51d684f3e	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_04089c25905a6c931e9c	rpi_9a70e579a86965f9	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
