evidence_id	compound_inchikey	compound_chembl_id	target_uniprot_accession	target_chembl_id	source_db	source_record_id	assay_type	standard_type	standard_relation	standard_value	standard_unit	normalized_nM	confidence	confidence_score	reference_doi	reference_pubmed_id	reference_pdb_id	source_raw	source_version	fetch_date
b47cac67ed8c2689571b795a19996b424c18742c	WDIPTEIUSFFSDV-WEMQTCASSA-N	CHEMBL111217	P37231	CHEMBL235	chembl	32233	F	EC50	=	63	nM	63	high	0.925	10.1016/j.bmcl.2003.08.048	14592510		chembl_36	chembl_36	2026-04-12
49a16d1aac1c4a76c3b9a4615c9eb2254a719a3a	WDIPTEIUSFFSDV-WEMQTCASSA-N	CHEMBL111217	P37231	CHEMBL235	chembl	32234	F	EC50	=	6.4	nM	6.4	high	0.925	10.1016/j.bmcl.2003.08.048	14592510		chembl_36	chembl_36	2026-04-12
fb929162f9f3c399164fa1d4360cca66605557da	KQODZTRNTZVLSI-MVZZTEKNSA-N	CHEMBL415341	P32245	CHEMBL259	chembl	32249	F	EC50	=	9	nM	9	high	0.925	10.1016/s0960-894x(03)00114-8	12657270		chembl_36	chembl_36	2026-04-12
f1605b850468cf06eddee675131e970ab3ae62ad	MHGCZCWXBCVLRE-IHLVYIGJSA-N	CHEMBL437822	P32245	CHEMBL259	chembl	32251	F	EC50	=	7	nM	7	high	0.925	10.1016/s0960-894x(03)00114-8	12657270		chembl_36	chembl_36	2026-04-12
c9a020d6415b00e176c9efd4f432ca6c09f161e6	MHGCZCWXBCVLRE-IHLVYIGJSA-N	CHEMBL437822	Q01726	CHEMBL3795	chembl	32252	F	EC50	=	1330	nM	1330	high	0.925	10.1016/s0960-894x(03)00114-8	12657270		chembl_36	chembl_36	2026-04-12
7436e20b27b5f65464a1fcc2a0a480e2637bbff0	NYGYWWKZSQYXCH-GFGZGKCBSA-N	CHEMBL268064	P25116	CHEMBL3974	chembl	32497	F	EC50	=	8000	nM	8000	high	0.925	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
e3986b10374268bf3ed8eb1a18ab8f902a4b4883	CDBPTZOOUNAWQA-LSBAASHUSA-N	CHEMBL115543	P25116	CHEMBL3974	chembl	32498	F	EC50	=	1000	nM	1000	high	0.925	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
0faffec6e2ccc38220aa1ed6fa0d60630bf0d996	CDBPTZOOUNAWQA-QCCYXRBGSA-N	CHEMBL335036	P25116	CHEMBL3974	chembl	32499	F	EC50	>	800000	nM	800000	high	0.865	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
c1ef4b31a7d782a4fb5598ad76de02e8da703b24	BFBVBPGZHZLSEB-DUSBTPNUSA-N	CHEMBL337875	P25116	CHEMBL3974	chembl	32500	F	EC50	=	800	nM	800	high	0.925	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
b56792865fde16414bec6f9a4d7da9db3462d05d	ZEBAOEVYIJUSMA-ZONLJJFTSA-N	CHEMBL130058	P25116	CHEMBL3974	chembl	32501	F	EC50	=	70000	nM	70000	high	0.925	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
480b6689ccc540bdca49247be7eac5a93ddbb043	AVBWDBOLHAFBJR-NPJMLQJUSA-N	CHEMBL132254	P25116	CHEMBL3974	chembl	32502	F	EC50	=	800000	nM	800000	high	0.925	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
3f4c79cafe786393bc66b47b0716bea46418ea03	XYPLCUKJTSGWBA-CMOCDZPBSA-N	CHEMBL433847	P25116	CHEMBL3974	chembl	32503	F	EC50	>	800000	nM	800000	high	0.865	10.1021/jm00020a029	7562949		chembl_36	chembl_36	2026-04-12
83c877fb7938886a07c4f4c1ac3c62f77e1940e2	OOXVNBHFUWKZMY-OGFXRTJISA-N	CHEMBL6710	P14842	CHEMBL322	chembl	32534	B	EC50	=	8.38	nM	8.38	high	0.950	10.1021/jm000491y	11300881		chembl_36	chembl_36	2026-04-12
47e7d77427810926fecb769a2543f4100b9203fd	UWERJSHTOGBZDV-UHFFFAOYSA-N	CHEMBL423694	P41143	CHEMBL236	chembl	32548	F	EC50	=	13.7	nM	13.7	high	0.925	10.1021/jm000229p	11052794		chembl_36	chembl_36	2026-04-12
1c5eaf5e425fd1e9f48f2a0c4264be45de1cf309	MYDJWFCWWHPKCH-FBHDLOMBSA-N	CHEMBL134277	P06401	CHEMBL208	chembl	32662	F	EC50	=	0.71	nM	0.71	high	0.925	10.1021/jm020477g	12954062		chembl_36	chembl_36	2026-04-12
350214323f9724be3e5b3491e65e6f581a58e8da	MYDJWFCWWHPKCH-FBHDLOMBSA-N	CHEMBL134277	P06401	CHEMBL208	chembl	32664	F	EC50	=	5.5	nM	5.5	high	0.925	10.1021/jm020477g	12954062		chembl_36	chembl_36	2026-04-12
58c0ec00511c9088895126002312d32aad4565a9	SUYVUBYJARFZHO-RRKCRQDMSA-N	CHEMBL335538	P49652	CHEMBL5720	chembl	32689	F	EC50	=	19000	nM	19000	high	0.975	10.1021/jm020046y	12213051		chembl_36	chembl_36	2026-04-12
e2b787b6aad886deafa681f88ace66a5175c8ffc	SUYVUBYJARFZHO-RRKCRQDMSA-N	CHEMBL335538	Q96G91	CHEMBL4867	chembl	32690	F	EC50	=	9000	nM	9000	high	0.925	10.1021/jm020046y	12213051		chembl_36	chembl_36	2026-04-12
cb5d7f0848a8f0e9d5349607da7823d6b598a1b6	HCIKUKNAJRJFOW-KQYNXXCUSA-N	CHEMBL335206	P49652	CHEMBL5720	chembl	32691	F	EC50	=	96	nM	96	high	0.975	10.1021/jm020046y	12213051		chembl_36	chembl_36	2026-04-12
b08842e6dce5df0a44c25ee1dfd790e928874c76	HCIKUKNAJRJFOW-KQYNXXCUSA-N	CHEMBL335206	Q96G91	CHEMBL4867	chembl	32692	F	EC50	=	30000	nM	30000	high	0.925	10.1021/jm020046y	12213051		chembl_36	chembl_36	2026-04-12
