rna_id	rbp_symbol	biosample_cell_type	assay	peak_count	score	evalue	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000000442_9606	TARDBP	K562	eCLIP	4	6.209095	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000006275_9606	TARDBP	K562	eCLIP	1	4.972554	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000011619_9606	TARDBP	K562	eCLIP	1	4.845936	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000025301_9606	TARDBP	K562	eCLIP	1	4.133857	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000026218_9606	TARDBP	K562	eCLIP	8	9.156562	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000028008_9606	TARDBP	K562	eCLIP	9	7.542384	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000040877_9606	TARDBP	K562	eCLIP	1	3.606046	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000046640_9606	TARDBP	K562	eCLIP	1	5.124133	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000064780_9606	TARDBP	K562	eCLIP	2	4.856467	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000080059_9606	TARDBP	K562	eCLIP	6	7.638228	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000156084_9606	TARDBP	K562	eCLIP	2	6.018923	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000159111_9606	TARDBP	K562	eCLIP	11	6.145122	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000159647_9606	TARDBP	K562	eCLIP	1	5.046986	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000162330_9606	TARDBP	K562	eCLIP	3	5.392159	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000169298_9606	TARDBP	K562	eCLIP	2	4.594686	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000171887_9606	TARDBP	K562	eCLIP	6	6.771102	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000181839_9606	TARDBP	K562	eCLIP	1	4.284272	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000182290_9606	TARDBP	K562	eCLIP	1	5.98786	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000190611_9606	TARDBP	K562	eCLIP	1	4.998364	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000193403_9606	TARDBP	K562	eCLIP	4	5.807819	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000199389_9606	TARDBP	K562	eCLIP	1	4.107454	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000200639_9606	TARDBP	K562	eCLIP	2	5.25565	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000201961_9606	TARDBP	K562	eCLIP	10	6.473242	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000202028_9606	TARDBP	K562	eCLIP	1	4.027221	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000202831_9606	TARDBP	K562	eCLIP	1	4.603223	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000202834_9606	TARDBP	K562	eCLIP	1	3.824402	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000204005_9606	TARDBP	K562	eCLIP	1	6.049561	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000204566_9606	TARDBP	K562	eCLIP	2	5.593612	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000204679_9606	TARDBP	K562	eCLIP	1	3.179224	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000204726_9606	TARDBP	K562	eCLIP	12	8.04831	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000205061_9606	TARDBP	K562	eCLIP	1	3.83371	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000206020_9606	TARDBP	K562	eCLIP	1	4.463169	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000207636_9606	TARDBP	K562	eCLIP	1	4.851973	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000209875_9606	TARDBP	K562	eCLIP	1	3.890024	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000210227_9606	TARDBP	K562	eCLIP	1	3.856467	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000211379_9606	TARDBP	K562	eCLIP	1	5.619333	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000211998_9606	TARDBP	K562	eCLIP	2	4.314972	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000212355_9606	TARDBP	K562	eCLIP	1	4.25565	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000215095_9606	TARDBP	K562	eCLIP	1	4.409711	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000215574_9606	TARDBP	K562	eCLIP	2	5.966382	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000215829_9606	TARDBP	K562	eCLIP	1	4.081689	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000215832_9606	TARDBP	K562	eCLIP	2	5.553266	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216044_9606	TARDBP	K562	eCLIP	1	6.309277	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216061_9606	TARDBP	K562	eCLIP	2	6.469741	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216181_9606	TARDBP	K562	eCLIP	3	5.648948	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216214_9606	TARDBP	K562	eCLIP	1	4.805418	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216225_9606	TARDBP	K562	eCLIP	1	3.805418	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216288_9606	TARDBP	K562	eCLIP	3	5.066223	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216463_9606	TARDBP	K562	eCLIP	1	3.978463	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216484_9606	TARDBP	K562	eCLIP	1	3.978463	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216639_9606	TARDBP	K562	eCLIP	1	4.916614	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000216877_9606	TARDBP	K562	eCLIP	1	4.083144	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217026_9606	TARDBP	K562	eCLIP	1	4.98349	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217162_9606	TARDBP	K562	eCLIP	3	4.515337	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217233_9606	TARDBP	K562	eCLIP	1	5.633518	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217315_9606	TARDBP	K562	eCLIP	1	3.607454	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217446_9606	TARDBP	K562	eCLIP	3	5.124133	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217901_9606	TARDBP	K562	eCLIP	1	4.152425	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000217971_9606	TARDBP	K562	eCLIP	1	4.436935	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000219439_9606	TARDBP	K562	eCLIP	1	4.522491	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000219473_9606	TARDBP	K562	eCLIP	4	4.720456	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000219476_9606	TARDBP	K562	eCLIP	1	4.010528	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000219797_9606	TARDBP	K562	eCLIP	1	4.478463	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000220592_9606	TARDBP	K562	eCLIP	3	7.49775	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000220849_9606	TARDBP	K562	eCLIP	1	6.339467	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000220959_9606	TARDBP	K562	eCLIP	1	4.699413	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000221283_9606	TARDBP	K562	eCLIP	12	8.54315	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000221448_9606	TARDBP	K562	eCLIP	3	3.963169	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000221455_9606	TARDBP	K562	eCLIP	2	5.329071	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000221494_9606	TARDBP	K562	eCLIP	1	3.792479	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000221922_9606	TARDBP	K562	eCLIP	2	8.187992	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000222644_9606	TARDBP	K562	eCLIP	1	4.598967	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000223051_9606	TARDBP	K562	eCLIP	1	5.485366	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000223865_9606	TARDBP	K562	eCLIP	1	5.36291	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000225298_9606	TARDBP	K562	eCLIP	1	4.20404	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000225388_9606	TARDBP	K562	eCLIP	3	4.321272	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000225577_9606	TARDBP	K562	eCLIP	1	5.327518	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
