rna_id	biosample_tissue	biosample_cell_type	expression_value	expression_unit	assay	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000641515_9606	blood	CD4-positive, alpha-beta T cell	0	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000341065_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000342066_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000437963_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000455979_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000464948_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000466827_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000474461_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000478729_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000616016_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000616125_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000617307_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000618181_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000618323_9606	blood	CD4-positive, alpha-beta T cell	51.333333	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
