rfam_id	cm_file	ga_threshold	source_version	fetch_date
RF00001	data/raw/rna/rfam/Rfam.cm.gz#RF00001	38.00	Rfam:current	2026-04-12
RF00002	data/raw/rna/rfam/Rfam.cm.gz#RF00002	42.00	Rfam:current	2026-04-12
RF00003	data/raw/rna/rfam/Rfam.cm.gz#RF00003	66.00	Rfam:current	2026-04-12
RF00004	data/raw/rna/rfam/Rfam.cm.gz#RF00004	46.00	Rfam:current	2026-04-12
RF00005	data/raw/rna/rfam/Rfam.cm.gz#RF00005	29.00	Rfam:current	2026-04-12
RF00006	data/raw/rna/rfam/Rfam.cm.gz#RF00006	34.00	Rfam:current	2026-04-12
RF00007	data/raw/rna/rfam/Rfam.cm.gz#RF00007	53.00	Rfam:current	2026-04-12
RF00008	data/raw/rna/rfam/Rfam.cm.gz#RF00008	48.50	Rfam:current	2026-04-12
RF00009	data/raw/rna/rfam/Rfam.cm.gz#RF00009	28.00	Rfam:current	2026-04-12
RF00010	data/raw/rna/rfam/Rfam.cm.gz#RF00010	100.00	Rfam:current	2026-04-12
RF00011	data/raw/rna/rfam/Rfam.cm.gz#RF00011	97.00	Rfam:current	2026-04-12
RF00012	data/raw/rna/rfam/Rfam.cm.gz#RF00012	34.00	Rfam:current	2026-04-12
RF00013	data/raw/rna/rfam/Rfam.cm.gz#RF00013	45.00	Rfam:current	2026-04-12
RF00014	data/raw/rna/rfam/Rfam.cm.gz#RF00014	60.00	Rfam:current	2026-04-12
RF00015	data/raw/rna/rfam/Rfam.cm.gz#RF00015	46.00	Rfam:current	2026-04-12
RF00016	data/raw/rna/rfam/Rfam.cm.gz#RF00016	64.00	Rfam:current	2026-04-12
RF00017	data/raw/rna/rfam/Rfam.cm.gz#RF00017	70.00	Rfam:current	2026-04-12
RF00018	data/raw/rna/rfam/Rfam.cm.gz#RF00018	71.00	Rfam:current	2026-04-12
RF00019	data/raw/rna/rfam/Rfam.cm.gz#RF00019	38.00	Rfam:current	2026-04-12
RF00020	data/raw/rna/rfam/Rfam.cm.gz#RF00020	40.00	Rfam:current	2026-04-12
RF00021	data/raw/rna/rfam/Rfam.cm.gz#RF00021	80.00	Rfam:current	2026-04-12
RF00022	data/raw/rna/rfam/Rfam.cm.gz#RF00022	42.00	Rfam:current	2026-04-12
RF00023	data/raw/rna/rfam/Rfam.cm.gz#RF00023	47.00	Rfam:current	2026-04-12
RF00024	data/raw/rna/rfam/Rfam.cm.gz#RF00024	70.00	Rfam:current	2026-04-12
RF00025	data/raw/rna/rfam/Rfam.cm.gz#RF00025	52.00	Rfam:current	2026-04-12
RF00026	data/raw/rna/rfam/Rfam.cm.gz#RF00026	44.00	Rfam:current	2026-04-12
RF00027	data/raw/rna/rfam/Rfam.cm.gz#RF00027	53.50	Rfam:current	2026-04-12
RF00028	data/raw/rna/rfam/Rfam.cm.gz#RF00028	50.00	Rfam:current	2026-04-12
RF00029	data/raw/rna/rfam/Rfam.cm.gz#RF00029	40.00	Rfam:current	2026-04-12
RF00030	data/raw/rna/rfam/Rfam.cm.gz#RF00030	50.00	Rfam:current	2026-04-12
RF00031	data/raw/rna/rfam/Rfam.cm.gz#RF00031	35.00	Rfam:current	2026-04-12
RF00032	data/raw/rna/rfam/Rfam.cm.gz#RF00032	34.00	Rfam:current	2026-04-12
RF00033	data/raw/rna/rfam/Rfam.cm.gz#RF00033	79.00	Rfam:current	2026-04-12
RF00034	data/raw/rna/rfam/Rfam.cm.gz#RF00034	70.00	Rfam:current	2026-04-12
RF00035	data/raw/rna/rfam/Rfam.cm.gz#RF00035	75.00	Rfam:current	2026-04-12
RF00036	data/raw/rna/rfam/Rfam.cm.gz#RF00036	104.00	Rfam:current	2026-04-12
RF00037	data/raw/rna/rfam/Rfam.cm.gz#RF00037	34.00	Rfam:current	2026-04-12
RF00038	data/raw/rna/rfam/Rfam.cm.gz#RF00038	88.00	Rfam:current	2026-04-12
RF00039	data/raw/rna/rfam/Rfam.cm.gz#RF00039	48.00	Rfam:current	2026-04-12
RF00040	data/raw/rna/rfam/Rfam.cm.gz#RF00040	180.00	Rfam:current	2026-04-12
RF00041	data/raw/rna/rfam/Rfam.cm.gz#RF00041	80.00	Rfam:current	2026-04-12
RF00042	data/raw/rna/rfam/Rfam.cm.gz#RF00042	60.00	Rfam:current	2026-04-12
RF00043	data/raw/rna/rfam/Rfam.cm.gz#RF00043	55.00	Rfam:current	2026-04-12
RF00044	data/raw/rna/rfam/Rfam.cm.gz#RF00044	100.00	Rfam:current	2026-04-12
RF00045	data/raw/rna/rfam/Rfam.cm.gz#RF00045	74.00	Rfam:current	2026-04-12
RF00046	data/raw/rna/rfam/Rfam.cm.gz#RF00046	60.00	Rfam:current	2026-04-12
RF00047	data/raw/rna/rfam/Rfam.cm.gz#RF00047	45.50	Rfam:current	2026-04-12
RF00048	data/raw/rna/rfam/Rfam.cm.gz#RF00048	55.00	Rfam:current	2026-04-12
RF00049	data/raw/rna/rfam/Rfam.cm.gz#RF00049	30.00	Rfam:current	2026-04-12
RF00050	data/raw/rna/rfam/Rfam.cm.gz#RF00050	66.20	Rfam:current	2026-04-12
RF00051	data/raw/rna/rfam/Rfam.cm.gz#RF00051	48.30	Rfam:current	2026-04-12
RF00052	data/raw/rna/rfam/Rfam.cm.gz#RF00052	40.00	Rfam:current	2026-04-12
RF00053	data/raw/rna/rfam/Rfam.cm.gz#RF00053	51.80	Rfam:current	2026-04-12
RF00054	data/raw/rna/rfam/Rfam.cm.gz#RF00054	39.00	Rfam:current	2026-04-12
RF00055	data/raw/rna/rfam/Rfam.cm.gz#RF00055	43.00	Rfam:current	2026-04-12
RF00056	data/raw/rna/rfam/Rfam.cm.gz#RF00056	60.00	Rfam:current	2026-04-12
RF00057	data/raw/rna/rfam/Rfam.cm.gz#RF00057	55.00	Rfam:current	2026-04-12
RF00058	data/raw/rna/rfam/Rfam.cm.gz#RF00058	70.00	Rfam:current	2026-04-12
RF00059	data/raw/rna/rfam/Rfam.cm.gz#RF00059	54.30	Rfam:current	2026-04-12
