rna_id	model_tool	structure_file	confidence	energy	source_version	fetch_date
ENST00000266427_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000266427_9606.dbn		-45.10	ViennaRNA:2.7.2	2026-04-12
ENST00000375081_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000375081_9606.dbn		-45.80	ViennaRNA:2.7.2	2026-04-12
ENST00000379316_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000379316_9606.dbn		-37.90	ViennaRNA:2.7.2	2026-04-12
ENST00000393660_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000393660_9606.dbn		-31.40	ViennaRNA:2.7.2	2026-04-12
ENST00000420611_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000420611_9606.dbn		-28.30	ViennaRNA:2.7.2	2026-04-12
ENST00000423272_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000423272_9606.dbn		-45.70	ViennaRNA:2.7.2	2026-04-12
ENST00000423478_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000423478_9606.dbn		-66.40	ViennaRNA:2.7.2	2026-04-12
ENST00000423954_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000423954_9606.dbn		-37.50	ViennaRNA:2.7.2	2026-04-12
ENST00000426319_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000426319_9606.dbn		-42.60	ViennaRNA:2.7.2	2026-04-12
ENST00000433192_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000433192_9606.dbn		-41.30	ViennaRNA:2.7.2	2026-04-12
ENST00000434237_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000434237_9606.dbn		-60.50	ViennaRNA:2.7.2	2026-04-12
ENST00000440186_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000440186_9606.dbn		-29.50	ViennaRNA:2.7.2	2026-04-12
ENST00000441659_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000441659_9606.dbn		-38.60	ViennaRNA:2.7.2	2026-04-12
ENST00000441977_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000441977_9606.dbn		-56.70	ViennaRNA:2.7.2	2026-04-12
ENST00000442284_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000442284_9606.dbn		-61.20	ViennaRNA:2.7.2	2026-04-12
ENST00000448370_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000448370_9606.dbn		-13.20	ViennaRNA:2.7.2	2026-04-12
ENST00000448732_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000448732_9606.dbn		-54.40	ViennaRNA:2.7.2	2026-04-12
ENST00000450293_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000450293_9606.dbn		-65.50	ViennaRNA:2.7.2	2026-04-12
ENST00000454283_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000454283_9606.dbn		-40.20	ViennaRNA:2.7.2	2026-04-12
ENST00000461282_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000461282_9606.dbn		-35.20	ViennaRNA:2.7.2	2026-04-12
ENST00000461368_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000461368_9606.dbn		-43.60	ViennaRNA:2.7.2	2026-04-12
ENST00000461578_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000461578_9606.dbn		-68.70	ViennaRNA:2.7.2	2026-04-12
ENST00000462038_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000462038_9606.dbn		-45.50	ViennaRNA:2.7.2	2026-04-12
ENST00000462181_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000462181_9606.dbn		-41.30	ViennaRNA:2.7.2	2026-04-12
ENST00000462604_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000462604_9606.dbn		-46.60	ViennaRNA:2.7.2	2026-04-12
ENST00000462613_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000462613_9606.dbn		-45.60	ViennaRNA:2.7.2	2026-04-12
ENST00000462728_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000462728_9606.dbn		-36.90	ViennaRNA:2.7.2	2026-04-12
ENST00000463770_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000463770_9606.dbn		-71.20	ViennaRNA:2.7.2	2026-04-12
ENST00000464223_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000464223_9606.dbn		-39.60	ViennaRNA:2.7.2	2026-04-12
ENST00000464404_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000464404_9606.dbn		-31.30	ViennaRNA:2.7.2	2026-04-12
ENST00000464579_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000464579_9606.dbn		-32.30	ViennaRNA:2.7.2	2026-04-12
ENST00000464822_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000464822_9606.dbn		-35.00	ViennaRNA:2.7.2	2026-04-12
ENST00000464956_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000464956_9606.dbn		-50.40	ViennaRNA:2.7.2	2026-04-12
ENST00000465346_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000465346_9606.dbn		-91.00	ViennaRNA:2.7.2	2026-04-12
ENST00000465768_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000465768_9606.dbn		-32.40	ViennaRNA:2.7.2	2026-04-12
ENST00000465841_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000465841_9606.dbn		-49.30	ViennaRNA:2.7.2	2026-04-12
ENST00000465853_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000465853_9606.dbn		-62.40	ViennaRNA:2.7.2	2026-04-12
ENST00000466020_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000466020_9606.dbn		-26.70	ViennaRNA:2.7.2	2026-04-12
ENST00000466214_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000466214_9606.dbn		-32.70	ViennaRNA:2.7.2	2026-04-12
ENST00000466913_9606	RNAfold	data/raw/rna/predicted_structures/rnafold_dbn/ENST00000466913_9606.dbn		-42.60	ViennaRNA:2.7.2	2026-04-12
