biomarker_id	biomarker_type	disease_id	target_id	source	evidence_class	fetch_date
NCBIGene:64170	gene_biomarker	MONDO:0008905	NCBIGene:64170	HPO_annotations	bridge_only	2026-06-29
NCBIGene:51256	gene_biomarker	MONDO:0009544	NCBIGene:51256	HPO_annotations	bridge_only	2026-06-29
NCBIGene:28981	gene_biomarker	MONDO:0033485	NCBIGene:28981	HPO_annotations	bridge_only	2026-06-29
NCBIGene:8216	gene_biomarker	MONDO:0014693	NCBIGene:8216	HPO_annotations	bridge_only	2026-06-29
NCBIGene:6505	gene_biomarker	MONDO:0014092	NCBIGene:6505	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5949	gene_biomarker	MONDO:0014093	NCBIGene:5949	HPO_annotations	bridge_only	2026-06-29
NCBIGene:583	gene_biomarker	MONDO:0014692	NCBIGene:583	HPO_annotations	bridge_only	2026-06-29
NCBIGene:4750	gene_biomarker	MONDO:0054750	NCBIGene:4750	HPO_annotations	bridge_only	2026-06-29
NCBIGene:51569	gene_biomarker	MONDO:0033486	NCBIGene:51569	HPO_annotations	bridge_only	2026-06-29
NCBIGene:392255	gene_biomarker	MONDO:0054752	NCBIGene:392255	HPO_annotations	bridge_only	2026-06-29
NCBIGene:79827	gene_biomarker	MONDO:0020718	NCBIGene:79827	HPO_annotations	bridge_only	2026-06-29
NCBIGene:134701	gene_biomarker	MONDO:0014694	NCBIGene:134701	HPO_annotations	bridge_only	2026-06-29
NCBIGene:55240	gene_biomarker	MONDO:0014094	NCBIGene:55240	HPO_annotations	bridge_only	2026-06-29
NCBIGene:3910	gene_biomarker	MONDO:0014095	NCBIGene:3910	HPO_annotations	bridge_only	2026-06-29
NCBIGene:63924	gene_biomarker	MONDO:0014098	NCBIGene:63924	HPO_annotations	bridge_only	2026-06-29
NCBIGene:6890	gene_biomarker	MONDO:0971006	NCBIGene:6890	HPO_annotations	bridge_only	2026-06-29
NCBIGene:7068	gene_biomarker	MONDO:0010131	NCBIGene:7068	HPO_annotations	bridge_only	2026-06-29
NCBIGene:51099	gene_biomarker	MONDO:0010155	NCBIGene:51099	HPO_annotations	bridge_only	2026-06-29
NCBIGene:2731	gene_biomarker	MONDO:0958179	NCBIGene:2731	HPO_annotations	bridge_only	2026-06-29
NCBIGene:2778	gene_biomarker	MONDO:0011301	NCBIGene:2778	HPO_annotations	bridge_only	2026-06-29
NCBIGene:149775	gene_biomarker	MONDO:0011301	NCBIGene:149775	HPO_annotations	bridge_only	2026-06-29
NCBIGene:8675	gene_biomarker	MONDO:0011301	NCBIGene:8675	HPO_annotations	bridge_only	2026-06-29
NCBIGene:54714	gene_biomarker	MONDO:0009875	NCBIGene:54714	HPO_annotations	bridge_only	2026-06-29
NCBIGene:2073	gene_biomarker	MONDO:0014696	NCBIGene:2073	HPO_annotations	bridge_only	2026-06-29
NCBIGene:396	gene_biomarker	MONDO:0014099	NCBIGene:396	HPO_annotations	bridge_only	2026-06-29
NCBIGene:201163	gene_biomarker	MONDO:0008259	NCBIGene:201163	HPO_annotations	bridge_only	2026-06-29
NCBIGene:283489	gene_biomarker	MONDO:0014699	NCBIGene:283489	HPO_annotations	bridge_only	2026-06-29
NCBIGene:84665	gene_biomarker	MONDO:0014100	NCBIGene:84665	HPO_annotations	bridge_only	2026-06-29
NCBIGene:166378	gene_biomarker	MONDO:0014698	NCBIGene:166378	HPO_annotations	bridge_only	2026-06-29
NCBIGene:4790	gene_biomarker	MONDO:0014697	NCBIGene:4790	HPO_annotations	bridge_only	2026-06-29
NCBIGene:84197	gene_biomarker	MONDO:0014101	NCBIGene:84197	HPO_annotations	bridge_only	2026-06-29
NCBIGene:81846	gene_biomarker	MONDO:0011475	NCBIGene:81846	HPO_annotations	bridge_only	2026-06-29
NCBIGene:54795	gene_biomarker	MONDO:0011474	NCBIGene:54795	HPO_annotations	bridge_only	2026-06-29
NCBIGene:1369	gene_biomarker	MONDO:0008910	NCBIGene:1369	HPO_annotations	bridge_only	2026-06-29
NCBIGene:3190	gene_biomarker	MONDO:0014700	NCBIGene:3190	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5832	gene_biomarker	MONDO:0014702	NCBIGene:5832	HPO_annotations	bridge_only	2026-06-29
NCBIGene:4089	gene_biomarker	MONDO:0017380	NCBIGene:4089	HPO_annotations	bridge_only	2026-06-29
NCBIGene:657	gene_biomarker	MONDO:0017380	NCBIGene:657	HPO_annotations	bridge_only	2026-06-29
NCBIGene:1280	gene_biomarker	MONDO:0014701	NCBIGene:1280	HPO_annotations	bridge_only	2026-06-29
NCBIGene:54567	gene_biomarker	MONDO:0014703	NCBIGene:54567	HPO_annotations	bridge_only	2026-06-29
NCBIGene:2261	gene_biomarker	MONDO:0007793	NCBIGene:2261	HPO_annotations	bridge_only	2026-06-29
NCBIGene:7436	gene_biomarker	MONDO:0024542	NCBIGene:7436	HPO_annotations	bridge_only	2026-06-29
NCBIGene:200942	gene_biomarker	MONDO:0009348	NCBIGene:200942	HPO_annotations	bridge_only	2026-06-29
NCBIGene:4508	gene_biomarker	MONDO:0010794	NCBIGene:4508	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5621	gene_biomarker	MONDO:0011299	NCBIGene:5621	HPO_annotations	bridge_only	2026-06-29
NCBIGene:7490	gene_biomarker	MONDO:0007635	NCBIGene:7490	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5159	gene_biomarker	MONDO:0014704	NCBIGene:5159	HPO_annotations	bridge_only	2026-06-29
NCBIGene:81848	gene_biomarker	MONDO:0014102	NCBIGene:81848	HPO_annotations	bridge_only	2026-06-29
NCBIGene:388588	gene_biomarker	MONDO:0044282	NCBIGene:388588	HPO_annotations	bridge_only	2026-06-29
NCBIGene:2623	gene_biomarker	MONDO:0010745	NCBIGene:2623	HPO_annotations	bridge_only	2026-06-29
NCBIGene:1848	gene_biomarker	MONDO:0014105	NCBIGene:1848	HPO_annotations	bridge_only	2026-06-29
NCBIGene:54756	gene_biomarker	MONDO:0014103	NCBIGene:54756	HPO_annotations	bridge_only	2026-06-29
NCBIGene:51761	gene_biomarker	MONDO:0014104	NCBIGene:51761	HPO_annotations	bridge_only	2026-06-29
NCBIGene:51702	gene_biomarker	MONDO:0020736	NCBIGene:51702	HPO_annotations	bridge_only	2026-06-29
NCBIGene:4247	gene_biomarker	MONDO:0008908	NCBIGene:4247	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5373	gene_biomarker	MONDO:0008907	NCBIGene:5373	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5337	gene_biomarker	MONDO:0008913	NCBIGene:5337	HPO_annotations	bridge_only	2026-06-29
NCBIGene:54345	gene_biomarker	MONDO:0019073	NCBIGene:54345	HPO_annotations	bridge_only	2026-06-29
NCBIGene:5317	gene_biomarker	MONDO:0011472	NCBIGene:5317	HPO_annotations	bridge_only	2026-06-29
NCBIGene:167691	gene_biomarker	MONDO:0011473	NCBIGene:167691	HPO_annotations	bridge_only	2026-06-29
NCBIGene:2072	gene_biomarker	MONDO:0014108	NCBIGene:2072	HPO_annotations	bridge_only	2026-06-29
NCBIGene:55768	gene_biomarker	MONDO:0800044	NCBIGene:55768	HPO_annotations	bridge_only	2026-06-29
NCBIGene:8822	gene_biomarker	MONDO:0014106	NCBIGene:8822	HPO_annotations	bridge_only	2026-06-29
NCBIGene:23767	gene_biomarker	MONDO:0014107	NCBIGene:23767	HPO_annotations	bridge_only	2026-06-29
NCBIGene:3982	gene_biomarker	MONDO:0014111	NCBIGene:3982	HPO_annotations	bridge_only	2026-06-29
